"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"22.07.2022","103,20","103,86","105,72","101,90","137,24K","-0,64%"
"21.07.2022","103,86","106,49","106,78","101,50","228,70K","-2,86%"
"20.07.2022","106,92","107,07","107,45","105,08","186,70K","-0,40%"
"19.07.2022","107,35","105,74","107,61","103,60","226,40K","1,02%"
"18.07.2022","106,27","100,82","106,48","99,46","213,50K","5,05%"
"15.07.2022","101,16","99,91","102,64","98,17","218,09K","2,08%"
"14.07.2022","99,10","99,43","100,39","94,50","318,79K","-0,47%"
"13.07.2022","99,57","98,50","101,21","98,28","247,47K","0,08%"
"12.07.2022","99,49","106,25","106,56","98,90","275,62K","-7,11%"
"11.07.2022","107,10","107,00","107,70","103,64","194,66K","0,07%"
"08.07.2022","107,02","104,65","107,47","103,67","238,35K","2,26%"
"07.07.2022","104,65","100,14","106,35","98,50","279,66K","3,93%"
"06.07.2022","100,69","104,88","105,85","98,50","350,30K","-2,02%"
"05.07.2022","102,77","113,54","114,75","101,10","428,84K","-9,45%"
"04.07.2022","113,50","111,65","114,00","110,40","100,59K","1,68%"
"01.07.2022","111,63","109,49","112,45","108,03","235,42K","-2,77%"
"30.06.2022","114,81","116,01","116,67","114,22","7,11K","-1,25%"
"29.06.2022","116,26","117,96","120,41","115,20","54,34K","-1,46%"
"28.06.2022","117,98","115,74","118,27","115,72","65,76K","2,51%"
"27.06.2022","115,09","112,92","116,08","111,26","118,10K","1,74%"
"24.06.2022","113,12","110,04","114,00","109,24","134,18K","2,79%"
"23.06.2022","110,05","109,58","112,70","108,04","195,92K","-1,51%"
"22.06.2022","111,74","114,40","114,45","107,03","293,05K","-2,54%"
"21.06.2022","114,65","114,21","116,25","114,02","204,03K","0,46%"
"20.06.2022","114,13","113,88","114,50","111,52","161,60K","0,89%"
"17.06.2022","113,12","119,13","121,25","111,72","319,91K","-5,58%"
"16.06.2022","119,81","119,65","120,29","115,56","276,68K","1,10%"
"15.06.2022","118,51","120,79","121,88","117,75","231,06K","-2,20%"
"14.06.2022","121,17","121,88","125,19","118,91","291,26K","-0,90%"
"13.06.2022","122,27","121,94","123,70","118,93","257,11K","0,21%"
"10.06.2022","122,01","122,89","124,33","119,81","294,28K","-0,86%"
"09.06.2022","123,07","123,60","124,34","122,50","218,98K","-0,41%"
"08.06.2022","123,58","120,65","124,40","120,45","256,29K","2,50%"
"07.06.2022","120,57","119,94","121,37","118,55","276,72K","0,89%"
"06.06.2022","119,51","121,55","121,95","118,77","204,09K","-0,18%"
"03.06.2022","119,72","118,22","121,45","116,02","141,66K","1,79%"
"02.06.2022","117,61","115,02","118,46","112,45","216,90K","1,14%"
"01.06.2022","116,29","116,08","118,57","115,40","242,16K","-5,33%"
"31.05.2022","122,84","122,20","125,28","121,60","11,56K","0,96%"
"30.05.2022","121,67","119,28","122,01","118,98","42,41K","1,88%"
"27.05.2022","119,43","117,52","119,72","116,63","81,16K","1,73%"
"26.05.2022","117,40","114,35","118,00","113,85","123,58K","2,96%"
"25.05.2022","114,03","114,12","115,30","113,01","152,33K","0,41%"
"24.05.2022","113,56","112,79","114,63","111,70","191,73K","0,12%"
"23.05.2022","113,42","112,85","114,34","111,86","196,51K","0,77%"
"20.05.2022","112,55","111,45","113,23","110,52","180,89K","0,46%"
"19.05.2022","112,04","108,22","112,31","105,70","272,35K","2,69%"
"18.05.2022","109,11","112,91","114,15","108,35","245,04K","-2,52%"
"17.05.2022","111,93","114,42","115,69","111,09","277,89K","-2,02%"
"16.05.2022","114,24","111,67","114,79","108,84","218,44K","2,41%"
"13.05.2022","111,55","108,25","111,69","107,79","220,32K","3,82%"
"12.05.2022","107,45","107,67","108,71","104,69","264,26K","-0,06%"
