"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"26.04.2023","178,38","179,05","179,84","178,03","16,61M","-0,31%"
"25.04.2023","178,93","181,50","182,11","178,00","29,27M","-1,45%"
"24.04.2023","181,56","181,48","183,88","170,63","44,38M","-0,09%"
"21.04.2023","181,72","182,00","183,49","181,21","20,94M","-0,01%"
"20.04.2023","181,74","182,03","182,72","178,64","38,61M","-0,15%"
"19.04.2023","182,01","184,33","185,32","180,30","47,95M","-1,29%"
"18.04.2023","184,39","182,41","184,97","182,00","41,51M","1,32%"
"17.04.2023","181,99","180,85","182,15","180,08","28,70M","1,39%"
"14.04.2023","179,50","179,00","180,10","177,10","20,38M","0,43%"
"13.04.2023","178,73","179,10","180,59","176,80","30,77M","-0,01%"
"12.04.2023","178,75","178,32","179,78","175,55","37,42M","0,89%"
"11.04.2023","177,18","175,50","182,50","175,20","118,21M","1,51%"
"10.04.2023","174,54","173,55","175,20","173,23","23,37M","0,84%"
"07.04.2023","173,09","171,50","173,18","171,29","17,93M","0,87%"
"06.04.2023","171,60","174,02","175,00","171,30","30,25M","-1,30%"
"05.04.2023","173,86","172,55","174,48","170,58","32,91M","0,76%"
"04.04.2023","172,55","171,00","176,00","170,14","73,20M","1,27%"
"03.04.2023","170,38","170,99","171,50","169,00","22,79M","0,32%"
"31.03.2023","169,83","172,00","172,71","168,14","31,38M","-1,09%"
"30.03.2023","171,71","170,78","171,80","170,02","14,71M","0,44%"
"29.03.2023","170,95","171,58","172,50","169,41","22,45M","-0,07%"
"28.03.2023","171,07","172,94","172,94","169,10","27,05M","-0,73%"
"27.03.2023","172,33","170,20","173,25","169,74","36,03M","1,95%"
"24.03.2023","169,03","169,23","169,49","168,01","14,78M","0,11%"
"23.03.2023","168,84","168,72","169,71","167,82","18,76M","0,07%"
"22.03.2023","168,72","170,00","171,38","167,70","38,94M","-1,07%"
"21.03.2023","170,55","176,00","177,25","168,66","107,47M","-2,93%"
"20.03.2023","175,70","164,40","176,86","164,14","128,10M","7,60%"
"17.03.2023","163,29","160,19","164,41","159,85","41,76M","2,24%"
"16.03.2023","159,71","159,85","160,83","158,50","20,92M","0,02%"
"15.03.2023","159,68","161,69","162,48","158,05","24,96M","-0,82%"
"14.03.2023","161,00","158,89","161,40","158,55","17,51M","1,24%"
"13.03.2023","159,03","160,35","161,62","158,30","20,24M","-0,63%"
"10.03.2023","160,04","160,50","161,29","159,51","17,24M","-0,73%"
"09.03.2023","161,21","162,21","163,18","161,12","13,95M","-0,84%"
"07.03.2023","162,57","163,80","163,85","162,00","13,86M","-0,48%"
"06.03.2023","163,35","163,20","164,30","162,52","19,51M","0,67%"
"03.03.2023","162,27","161,20","163,30","160,90","21,33M","0,85%"
"02.03.2023","160,90","164,18","164,34","159,50","53,20M","-2,19%"
"01.03.2023","164,50","158,00","164,56","157,99","67,73M","4,34%"
"28.02.2023","157,66","156,49","158,09","155,56","18,44M","0,84%"
"27.02.2023","156,34","153,90","157,30","153,50","17,13M","1,37%"
"24.02.2023","154,22","155,53","156,98","153,72","9,98M","-0,70%"
"22.02.2023","155,31","154,89","156,40","153,50","11,65M","0,22%"
"21.02.2023","154,97","153,61","156,43","153,61","21,40M","1,13%"
"20.02.2023","153,24","153,62","154,30","151,62","15,32M","-0,25%"
"17.02.2023","153,62","153,40","155,08","152,83","13,26M","0,04%"
"16.02.2023","153,56","154,01","154,50","151,62","17,32M","0,31%"
"15.02.2023","153,09","156,05","156,07","150,60","27,57M","-2,19%"
"14.02.2023","156,52","157,90","158,10","155,13","18,61M","-0,94%"
"13.02.2023","158,01","159,47","159,47","158,00","11,42M","-0,42%"
"10.02.2023","158,68","159,07","159,46","158,32","9,87M","-0,32%"
"09.02.2023","159,19","158,50","160,44","157,60","27,66M","0,64%"
"08.02.2023","158,18","160,01","160,42","157,82","16,69M","-1,06%"
"07.02.2023","159,87","160,50","161,35","159,51","13,95M","-0,17%"
"06.02.2023","160,14","160,68","161,76","158,91","28,14M","-0,45%"
"03.02.2023","160,87","158,09","163,96","156,76","69,54M","1,75%"
"02.02.2023","158,10","158,44","158,59","157,31","11,99M","-0,01%"
"01.02.2023","158,12","158,30","158,66","157,54","14,24M","0,01%"
"31.01.2023","158,10","158,41","160,00","158,00","15,13M","-0,20%"
"30.01.2023","158,41","159,08","159,67","157,70","10,74M","-0,42%"
