"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"19.04.2023","116,57","116,08","116,90","115,77","10,68M","-0,32%"
"18.04.2023","116,94","114,39","117,21","114,30","17,44M","1,95%"
"17.04.2023","114,70","115,49","116,51","114,42","13,26M","-1,16%"
"14.04.2023","116,05","115,90","116,66","115,12","11,53M","0,24%"
"13.04.2023","115,77","114,60","115,89","114,13","12,40M","0,47%"
"12.04.2023","115,23","116,16","116,59","114,93","10,92M","-0,10%"
"11.04.2023","115,35","114,96","116,20","114,38","11,76M","0,71%"
"10.04.2023","114,54","114,78","116,18","114,17","13,01M","-0,44%"
"06.04.2023","115,05","116,86","117,18","114,77","15,78M","-1,66%"
"05.04.2023","116,99","115,35","117,00","114,31","16,48M","1,71%"
"04.04.2023","115,02","116,26","116,70","114,17","16,37M","-0,96%"
"03.04.2023","116,13","113,39","116,85","113,12","28,09M","5,90%"
"31.03.2023","109,66","109,68","110,17","109,05","14,42M","0,16%"
"30.03.2023","109,49","109,55","109,57","108,52","11,58M","0,49%"
"29.03.2023","108,96","108,06","109,16","107,49","14,22M","1,72%"
"28.03.2023","107,12","105,44","107,65","105,19","11,05M","1,25%"
"27.03.2023","105,80","104,74","106,48","103,91","14,81M","2,19%"
"24.03.2023","103,53","101,47","103,85","100,91","13,41M","0,12%"
"23.03.2023","103,41","105,36","106,34","102,44","14,39M","-1,13%"
"22.03.2023","104,59","106,80","107,18","104,56","14,95M","-2,29%"
"21.03.2023","107,04","104,17","107,28","104,13","31,59M","4,48%"
"20.03.2023","102,45","99,63","102,48","99,50","32,04M","2,61%"
"17.03.2023","99,84","100,60","101,61","99,14","43,20M","-1,18%"
"16.03.2023","101,03","99,11","101,68","98,02","27,48M","-0,58%"
"15.03.2023","101,62","102,82","104,20","100,22","25,73M","-4,97%"
"14.03.2023","106,94","106,35","109,01","104,96","18,26M","0,38%"
"13.03.2023","106,54","105,34","107,86","103,72","20,75M","-1,15%"
"10.03.2023","107,78","109,56","111,04","107,15","15,80M","-1,24%"
"09.03.2023","109,13","110,87","112,23","109,03","12,96M","-0,77%"
"08.03.2023","109,98","111,23","112,42","109,07","13,51M","-1,46%"
"07.03.2023","111,61","112,81","113,17","111,17","11,53M","-1,93%"
