"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"22.02.2023","80,45","82,50","82,96","80,30","297,26K","-3,13%"
"21.02.2023","83,05","83,86","84,20","82,56","231,63K","-1,21%"
"20.02.2023","84,07","83,15","84,30","82,73","143,85K","1,29%"
"17.02.2023","83,00","84,60","84,87","81,80","303,66K","-2,51%"
"16.02.2023","85,14","85,27","86,21","84,60","197,02K","-0,28%"
"15.02.2023","85,38","85,20","85,85","83,88","245,98K","-0,23%"
"14.02.2023","85,58","85,83","86,42","84,13","231,63K","-1,19%"
"13.02.2023","86,61","86,51","86,95","85,10","207,62K","0,25%"
"10.02.2023","86,39","84,22","86,90","83,93","297,34K","2,24%"
"09.02.2023","84,50","84,96","85,50","83,05","260,73K","-0,69%"
"08.02.2023","85,09","84,11","85,15","83,51","254,14K","1,67%"
"07.02.2023","83,69","81,26","84,13","81,19","290,98K","3,33%"
"06.02.2023","80,99","79,61","81,43","79,10","325,21K","1,31%"
"03.02.2023","79,94","82,27","84,20","79,62","330,32K","-2,71%"
"02.02.2023","82,17","83,34","83,61","81,25","287,09K","-0,81%"
"01.02.2023","82,84","85,56","86,21","82,37","348,66K","-1,95%"
"31.01.2023","84,49","85,18","85,25","83,73","11,89K","-0,48%"
"30.01.2023","84,90","86,88","87,48","84,66","65,55K","-2,03%"
"27.01.2023","86,66","87,65","88,95","85,69","107,08K","-0,93%"
"26.01.2023","87,47","86,35","88,01","85,74","139,10K","1,57%"
"25.01.2023","86,12","86,28","87,00","85,41","159,47K","-0,01%"
"24.01.2023","86,13","88,07","88,71","85,80","207,75K","-2,34%"
"23.01.2023","88,19","87,70","89,09","86,92","192,41K","0,64%"
"20.01.2023","87,63","86,42","87,79","85,58","212,92K","1,71%"
"19.01.2023","86,16","84,34","86,85","83,76","250,96K","1,39%"
"18.01.2023","84,98","86,45","87,85","84,36","288,15K","-1,09%"
"17.01.2023","85,92","84,20","86,82","84,04","238,30K","1,73%"
"16.01.2023","84,46","85,36","85,59","83,83","125,96K","-0,96%"
"13.01.2023","85,28","83,91","85,50","83,50","217,40K","1,49%"
"12.01.2023","84,03","82,88","84,62","82,37","264,07K","1,65%"
"11.01.2023","82,67","79,52","83,00","79,31","273,79K","3,21%"
"10.01.2023","80,10","79,54","80,89","78,81","244,35K","0,56%"
"09.01.2023","79,65","78,42","81,37","78,42","245,12K","1,37%"
"06.01.2023","78,57","78,80","80,59","78,05","215,42K","-0,15%"
"05.01.2023","78,69","78,16","79,97","77,61","259,58K","1,09%"
"04.01.2023","77,84","82,31","82,72","77,72","319,31K","-5,19%"
"03.01.2023","82,10","85,96","87,00","81,78","302,86K","-4,43%"
