iter	MAPE	RMSE
0	0.2154112336	54.67035361
1	0.2080640673	52.54591669
2	0.200442867	50.30097996
3	0.192654714	48.28643031
4	0.186683607	46.49338548
5	0.1822151217	45.32004488
6	0.1768342704	43.99765979
7	0.1726376318	42.96079051
8	0.1679688268	41.77681257
9	0.1642370482	40.87624661
10	0.1605380357	40.07975133
11	0.1572811542	39.34143238
12	0.1546342544	38.79826338
13	0.150901256	38.10839748
14	0.148878506	37.65668966
15	0.1466373862	37.22356752
16	0.1443292767	36.81397567
17	0.141948581	36.29474088
18	0.139329759	35.8971196
19	0.137027037	35.52637584
20	0.1351410369	35.17118996
21	0.133312078	34.72627813
22	0.1312428214	34.398695
23	0.129493834	34.13020897
24	0.1278898052	33.87025485
25	0.1258503648	33.44975366
26	0.1243696049	33.17472282
27	0.1226862542	32.8511539
28	0.12005804	32.26575204
29	0.1182923075	31.90957868
30	0.1164916501	31.52550512
31	0.1155869465	31.35518682
32	0.1147715868	31.1579341
33	0.1139615385	31.00146856
34	0.1135812869	30.93387565
35	0.1122197002	30.67356503
36	0.1112210333	30.44313339
37	0.1104748315	30.2999958
38	0.1097753373	30.0647996
39	0.1088937714	29.87252188
40	0.1077381271	29.62209645
41	0.1069541002	29.35560851
42	0.1060668168	29.17891032
43	0.1052552757	29.03778265
44	0.1046072925	28.91723341
45	0.103831537	28.67646435
46	0.102519188	28.34136325
47	0.1019224467	28.17351939
48	0.1014001688	28.04889158
49	0.1009255606	27.97412007
50	0.1006160331	27.91602235
51	0.1000050378	27.69297056
52	0.09987890905	27.58166858
53	0.0995679661	27.4991597
54	0.09912893526	27.36184922
55	0.0987643287	27.27192266
56	0.09796599692	27.09163694
57	0.09690531792	26.80122856
58	0.09568876979	26.47433131
59	0.09462497986	26.14877093
60	0.09423127216	25.98406756
61	0.09361982002	25.76090416
62	0.0932105015	25.66876001
63	0.09290685802	25.58606752
64	0.09271600543	25.47902952
65	0.09201991496	25.26269158
66	0.09104914055	25.05227743
67	0.09082374759	24.9611177
68	0.08973948344	24.62537897
69	0.08836191801	24.31942701
70	0.08811566658	24.24703945
71	0.08712902296	24.04416945
72	0.08655092469	23.90552229
73	0.08609464874	23.72371718
74	0.08551419243	23.52473219
75	0.08525311256	23.42646171
76	0.08480261443	23.24163034
77	0.08372262671	22.99988539
78	0.08346861365	22.8958252
79	0.0828535611	22.75036378
80	0.08256591651	22.65424469
81	0.08210835559	22.49580437
82	0.08128297187	22.32280714
83	0.08107391885	22.23982843
84	0.08024344234	21.98124338
85	0.0799851714	21.8824115
86	0.0790494352	21.5839701
87	0.07839509839	21.45777924
88	0.07794060693	21.36691371
89	0.07754619092	21.27586691
90	0.07678176197	20.98491001
